"Nombre de módulo","Autor","Sitio web","Última versión"
"Report Extended Account Integration","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Report Extended Payments Integration","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Report Extended Purchase Integration","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Report Extended Sale Integration","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Report Extended Stock Integration","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Report Extended Website Sale Integration","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Sale Barcode","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Sale CRM UX","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Sale Delivery UX","ADHOC SA","www.adhoc.com.ar","13.0.1.1.0"
"Sale Exceptions Ingore Approve Directly","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Sale Gathering","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Sale Margin Ux","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Sale Order Line Number","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Sale Order Lot Selection UX","ADHOC SA","www.adhoc.com.ar","13.0.1.2.0"
"Sale Order Type User Default","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Sale Order Type Ux","ADHOC SA","www.adhoc.com.ar","13.0.1.4.0"
"Sale Order Validity","ADHOC SA","www.adhoc.com.ar","13.0.1.1.0"
"Sale Quotation Products","ADHOC SA","www.adhoc.com.ar","13.0.1.1.0"
"Online Quotes Templates Public","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Sale Order Require Contract on Confirmation","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Sale Require Purchase Order Number","ADHOC SA","www.adhoc.com.ar","13.0.1.1.0"
"Sale Order Require Reference on Confirmation","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Sale Stock Analytic","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Sale Stock Info Pop-up Color","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Sale Stock UX","ADHOC SA","www.adhoc.com.ar","13.0.1.10.0"
"Sale Three Discounts","ADHOC SA","www.adhoc.com.ar","13.0.1.1.0"
"Sale Three Discounts UX","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Sale UX","ADHOC SA","www.adhoc.com.ar","13.0.1.10.0"
"Stock Analytic Tag","ADHOC SA","www.adhoc.com.ar","13.0.1.1.0"
"Código de barras","Odoo S.A.","https://www.odoo.com/page/warehouse?utm_source=db&utm_medium=module","13.0.1.0"
"Stock Usability with Batch Picking and stock vouchers","ADHOC SA","www.adhoc.com.ar","13.0.1.3.0"
"Stock EAN128","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Stock Lot Information","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Stock Picking EAN128 Report","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Stock Picking Labels","ADHOC SA","www.adhoc.com.ar","13.0.1.1.0"
"Stock Picking Partner Editable","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Stock Picking Responsible","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Stock Picking State","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Stock Removal by Location priority","Eficent, ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Stock Request UX","ADHOC SA","www.adhoc.com.ar","13.0.1.1.0"
"Stock UX","ADHOC SA","www.adhoc.com.ar","13.0.1.13.0"
"Stock Voucher","ADHOC SA","www.adhoc.com.ar","13.0.1.3.0"
"Product Attribute Link on Website Product view","ADHOC SA","www.adhoc.com.ar","13.0.1.1.0"
"Commission Invoices with Public Categories","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Website Security","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Facturación","Odoo S.A.","https://www.odoo.com/page/billing","13.0.1.1"
"Contabilidad","Odoo S.A.","https://www.odoo.com/page/accounting?utm_source=db&utm_medium=module","13.0.1.0"
"Fabricación","Odoo S.A.","https://www.odoo.com/page/manufacturing","13.0.2.0"
"MRP II","Odoo S.A.","https://www.odoo.com/page/mrp-cloud-software?utm_source=db&utm_medium=module","13.0.1.0"
"Contabilidad del SGA (WMS)","Odoo S.A.",,"13.0.1.1"
"Costes en destino del SGA (WMS)","Odoo S.A.",,"13.0.1.1"
"Gestión del ciclo de vida del producto (PLM)","Odoo S.A.","https://www.odoo.com/page/mrp-plm?utm_source=db&utm_medium=module","13.0.1.0"
"Calidad","Odoo S.A.","https://www.odoo.com/page/quality-management-software?utm_source=db&utm_medium=module","13.0.1.0"
"Ventas","Odoo S.A.","https://www.odoo.com/page/sales","13.0.1.0"
"Studio","Odoo S.A.","https://odoo.com/page/studio?utm_source=db&utm_medium=module","13.0.1.0"
"Direcciones de la ciudad","Odoo S.A.",,"13.0.1.0"
"Direcciones ampliadas","Odoo S.A.",,"13.0.1.0"
"Lead to Task","Odoo S.A., Odoo Community Association (OCA), Tecnativa",,"13.0.1.0.1"
"Punto de venta","Odoo S.A.","https://www.odoo.com/page/point-of-sale-shop","13.0.1.0.1"
"Point of Sale Cash Rounding","Odoo S.A.",,"13.0.1.0.0"
"Registros de tareas","Odoo S.A.","https://www.odoo.com/page/timesheet-mobile-app","13.0.1.0"
"Entradas de trabajo","Odoo S.A.",,"13.0.1.0"
"Notas","Odoo S.A.","https://www.odoo.com/page/notes","13.0.1.0"
"Formulario de contacto","Odoo S.A.",,"13.0.2.1"
"Enviar SMS al visitante con leads","Odoo S.A.",,"13.0.1.0"
"Enviar SMS al visitante","Odoo S.A.",,"13.0.1.0"
"Comercio electrónico","Odoo S.A.","https://www.odoo.com/page/e-commerce","13.0.1.0"
